ABASE ON-LINE|ZOETIS|ZOETIS ÉTICOS|CÓDIGO
SIM|SIM|não|9155
SIM|SIM|não|2201
SIM|SIM|SIM|9201
SIM|SIM|SIM|4583
SIM|SIM|não|4199
SIM|SIM|SIM|6333
SIM|SIM|não|8563
SIM|SIM|SIM|7843
SIM|SIM|SIM|2079
SIM|SIM|SIM|9412
SIM|SIM|não|8143
SIM|SIM|não|7968
SIM|SIM|não|3658
SIM|SIM|não|5004
SIM|SIM|SIM|2367
SIM|SIM|não|7277
SIM|SIM|SIM|7208
SIM|SIM|não|7905
SIM|SIM|não|3542
SIM|NÃO|não|2653
SIM|SIM|não|5674
SIM|SIM|SIM|2745
SIM|SIM|SIM|2845
SIM|SIM|não|816
SIM|SIM|SIM|3753
SIM|SIM|SIM|1126
SIM|SIM|não|8076
SIM|SIM|não|7164
SIM|SIM|não|4305
SIM|SIM|SIM|3623
SIM|SIM|não|4719
SIM|SIM|SIM|2167
SIM|SIM|SIM|7641
SIM|SIM|SIM|3037
SIM|SIM|SIM|318
SIM|SIM|NÃO|1769
SIM|SIM|NÃO|9900
SIM|SIM|NÃO|8838
SIM|SIM|NÃO|9313
SIM|SIM|NÃO|9975
SIM|SIM|NÃO|7118
SIM|SIM|SIM|8528
SIM|SIM|NÃO|2998
SIM|SIM|NÃO|8063
SIM|SIM|NÃO|4821
SIM|SIM|NÃO|9946
NÃO|NÃO|NÃO|5587
SIM|SIM|NÃO|618
NÃO|NÃO|NÃO|7910
NÃO|NÃO|NÃO|1653
SIM|SIM|NÃO|627
SIM|SIM|NÃO|7998
SIM|SIM|SIM|2551
SIM|SIM|SIM|2443
SIM|SIM|NÃO|1896
NÃO|NÃO|NÃO|175
SIM|SIM|SIM|7037
SIM|SIM|SIM|8498
SIM|SIM|SIM|1381
SIM|SIM|NÃO|2502
SIM|SIM|SIM|2261
SIM|SIM|SIM|2263
SIM|SIM|NÃO|6549
SIM|SIM|NÃO|9028
SIM|SIM|NÃO|3204
SIM|SIM|SIM|2713
SIM|SIM|SIM|3191
SIM|SIM|NÃO|5658
SIM|SIM|SIM|4335
SIM|SIM|NÃO|7121
SIM|SIM|NÃO|1777
SIM|SIM|NÃO|7760
SIM|SIM|SIM|3270
SIM|SIM|SIM|6243
NÃO|NÃO|NÃO|8511
SIM|SIM|SIM|8133
SIM|SIM|SIM|509
SIM|SIM|NÃO|8660
SIM|SIM|NÃO|4263
SIM|SIM|NÃO|6244
SIM|SIM|SIM|3330
SIM|SIM|NÃO|8027
SIM|SIM|NÃO|4215
SIM|SIM|NÃO|6209
SIM|SIM|NÃO|9299
SIM|SIM|NÃO|2299
SIM|SIM|NÃO|3606
SIM|SIM|SIM|3991
SIM|SIM|SIM|144
SIM|SIM|NÃO|6210
NÃO|NÃO|NÃO|3591
SIM|SIM|NÃO|8030
NÃO|NÃO|NÃO|559
SIM|SIM|SIM|2620
SIM|SIM|SIM|151
SIM|SIM|NÃO|2122
SIM|SIM|SIM|2310
SIM|SIM|NÃO|1466
SIM|SIM|SIM|9657
SIM|SIM|NÃO|5655
SIM|SIM|SIM|1954
SIM|SIM|NÃO|2072
SIM|SIM|SIM|3244
SIM|SIM|NÃO|643
SIM|SIM|NÃO|10019
SIM|SIM|SIM|2952
SIM|SIM|NÃO|6910
SIM|SIM|NÃO|6865
SIM|SIM|SIM|7034
SIM|SIM|NÃO|2609
SIM|SIM|NÃO|2450
SIM|SIM|NÃO|2334
SIM|SIM|SIM|7335
SIM|SIM|SIM|5487
NÃO|NÃO|NÃO|7986
SIM|SIM|SIM|5495
SIM|SIM|SIM|8537
SIM|SIM|NÃO|4552
SIM|SIM|NÃO|9397
SIM|SIM|NÃO|5090
SIM|SIM|NÃO|3687
SIM|SIM|NÃO|6322
SIM|SIM|SIM|2756
SIM|SIM|SIM|2347
SIM|SIM|SIM|3505
SIM|SIM|SIM|263
SIM|SIM|SIM|5558
NÃO|NÃO|NÃO|6628
SIM|SIM|NÃO|8715
SIM|SIM|NÃO|1497
SIM|SIM|SIM|6211
NÃO|NÃO|NÃO|6892
NÃO|NÃO|NÃO|5665
SIM|SIM|NÃO|9047
SIM|SIM|NÃO|8029
SIM|SIM|NÃO|6925
SIM|SIM|NÃO|6019
SIM|SIM|NÃO|6926
SIM|SIM|NÃO|8641
SIM|SIM|NÃO|5663
SIM|SIM|NÃO|6213
SIM|SIM|NÃO|8553
SIM|SIM|NÃO|5537
SIM|SIM|NÃO|6548
SIM|SIM|SIM|9810
SIM|SIM|NÃO|8375
SIM|SIM|NÃO|8324
SIM|SIM|NÃO|806
SIM|SIM|NÃO|7282
SIM|SIM|SIM|5225
SIM|SIM|SIM|2589
SIM|SIM|NÃO|874
SIM|SIM|NÃO|8079
SIM|SIM|NÃO|8568
SIM|SIM|NÃO|6062
SIM|SIM|NÃO|7708
SIM|SIM|NÃO|2235
SIM|SIM|NÃO|3312
SIM|SIM|SIM|628
SIM|SIM|SIM|650
SIM|SIM|SIM|10018
SIM|SIM|SIM|9045
SIM|SIM|SIM|8064
SIM|SIM|NÃO|1297
SIM|SIM|NÃO|4832
