status_allin|id_erp|grupo_restricao
0|2465|[abase-restric-o-de-vacinas]
1|5088|[abase-restric-o-de-vacinas]
1|5090|[abase-restric-o-de-vacinas]
1|5094|[abase-restric-o-de-vacinas]
0|5100|[abase-restric-o-de-vacinas]
1|5109|[abase-restric-o-de-vacinas]
1|5110|[abase-restric-o-de-vacinas]
0|5111|[abase-restric-o-de-vacinas]
1|5117|[abase-restric-o-de-vacinas]
1|5132|
1|5133|
1|5138|
1|5147|
1|5150|[abase-restric-o-de-vacinas]
1|5151|
1|5154|[abase-restric-o-de-vacinas]
1|5155|
0|5158|[abase-restric-o-de-vacinas]
1|5159|[abase-restric-o-de-vacinas]
1|5160|
1|5170|
